192 64 2 0.4238
193 65 1 -0.8476
194 65 2 0.4238
195 65 2 0.4238
196 66 1 -0.8476
197 66 2 0.4238
198 66 2 0.4238
199 67 1 -0.8476
200 67 2 0.4238
201 67 2 0.4238
202 68 1 -0.8476
203 68 2 0.4238
204 68 2 0.4238
205 69 1 -0.8476
206 69 2 0.4238
207 69 2 0.4238
208 70 1 -0.8476
209 70 2 0.4238
210 70 2 0.4238
211 71 1 -0.8476
212 71 2 0.4238
213 71 2 0.4238
214 72 1 -0.8476
215 72 2 0.4238
216 72 2 0.4238
217 73 1 -0.8476
218 73 2 0.4238
219 73 2 0.4238
220 74 1 -0.8476
221 74 2 0.4238
222 74 2 0.4238
223 75 1 -0.8476
224 75 2 0.4238
225 75 2 0.4238
226 76 1 -0.8476
227 76 2 0.4238
228 76 2 0.4238
229 77 1 -0.8476
230 77 2 0.4238
231 77 2 0.4238
232 78 1 -0.8476
233 78 2 0.4238
234 78 2 0.4238
235 79 1 -0.8476
236 79 2 0.4238
237 79 2 0.4238
238 80 1 -0.8476
239 80 2 0.4238
240 80 2 0.4238
241 81 1 -0.8476
242 81 2 0.4238
243 81 2 0.4238
244 82 1 -0.8476
245 82 2 0.4238
246 82 2 0.4238
247 83 1 -0.8476
